order_product_id,order_id,user_id,order_ts,channel,product_id,qty,gross_amount,discount_amount,net_sales_amount,influencer_id,coupon_id
OPO000001_P012,O000001,U0076,2025-12-01 16:22:00,쿠팡,P012,1,65000,0,65000,,
OPO000002_P003,O000002,U0233,2025-12-01 22:12:00,에이블리,P003,1,59000,0,59000,,
OPO000002_P009,O000002,U0233,2025-12-01 22:12:00,에이블리,P009,1,98000,0,98000,,
OPO000003_P012,O000003,U0210,2025-12-01 20:30:00,자사몰,P012,1,65000,0,65000,,
OPO000004_P009,O000004,U0077,2025-12-01 09:08:00,쿠팡,P009,1,98000,0,98000,,
OPO000005_P007,O000005,U0051,2025-12-01 16:06:00,지그재그,P007,1,32000,3000,29000,,C001
OPO000006_P011,O000006,U0079,2025-12-01 21:16:00,자사몰,P011,1,55000,0,55000,,
OPO000007_P006,O000007,U0041,2025-12-01 22:43:00,지그재그,P006,1,45000,0,45000,,
OPO000007_P005,O000007,U0041,2025-12-01 22:43:00,지그재그,P005,1,69000,0,69000,,
OPO000008_P010,O000008,U0249,2025-12-01 09:39:00,지그재그,P010,1,38000,0,38000,,
OPO000009_P001,O000009,U0147,2025-12-01 20:05:00,에이블리,P001,1,49000,0,49000,,
OPO000010_P000,O000010,U0051,2025-12-01 20:19:00,쿠팡,P000,1,29000,0,29000,,
OPO000010_P005,O000010,U0051,2025-12-01 20:19:00,쿠팡,P005,1,69000,0,69000,,
OPO000011_P006,O000011,U0150,2025-12-01 15:09:00,자사몰,P006,1,45000,0,45000,,
OPO000012_P009,O000012,U0092,2025-12-01 10:39:00,자사몰,P009,1,98000,0,98000,,
OPO000012_P010,O000012,U0092,2025-12-01 10:39:00,자사몰,P010,1,38000,0,38000,,
OPO000013_P004,O000013,U0298,2025-12-01 16:40:00,자사몰,P004,1,79000,0,79000,,
OPO000014_P007,O000014,U0238,2025-12-01 19:34:00,에이블리,P007,1,32000,0,32000,,
OPO000015_P013,O000015,U0153,2025-12-01 15:44:00,네이버,P013,1,149000,0,149000,,
OPO000016_P005,O000016,U0196,2025-12-01 10:15:00,지그재그,P005,1,69000,0,69000,,
OPO000017_P000,O000017,U0151,2025-12-01 22:42:00,자사몰,P000,1,29000,0,29000,,
OPO000018_P014,O000018,U0025,2025-12-01 20:31:00,에이블리,P014,1,85000,0,85000,,
OPO000018_P004,O000018,U0025,2025-12-01 20:31:00,에이블리,P004,1,79000,0,79000,,
OPO000019_P009,O000019,U0117,2025-12-01 14:14:00,네이버,P009,1,98000,0,98000,,
OPO000020_P012,O000020,U0070,2025-12-01 19:41:00,네이버,P012,1,65000,0,65000,,
OPO000021_P005,O000021,U0296,2025-12-01 11:05:00,자사몰,P005,1,69000,0,69000,,
OPO000021_P011,O000021,U0296,2025-12-01 11:05:00,자사몰,P011,1,55000,0,55000,,
OPO000022_P008,O000022,U0102,2025-12-01 17:56:00,자사몰,P008,1,120000,0,120000,,
OPO000022_P014,O000022,U0102,2025-12-01 17:56:00,자사몰,P014,1,85000,0,85000,,
OPO000023_P004,O000023,U0084,2025-12-01 22:30:00,자사몰,P004,1,79000,0,79000,,
OPO000023_P011,O000023,U0084,2025-12-01 22:30:00,자사몰,P011,1,55000,0,55000,,
OPO000024_P003,O000024,U0058,2025-12-01 10:09:00,쿠팡,P003,1,59000,0,59000,,
OPO000025_P012,O000025,U0203,2025-12-01 21:35:00,에이블리,P012,1,65000,0,65000,,
OPO000026_P010,O000026,U0135,2025-12-01 16:23:00,쿠팡,P010,1,38000,0,38000,,
OPO000027_P007,O000027,U0195,2025-12-01 14:06:00,지그재그,P007,1,32000,3200,28800,,C003
OPO000028_P010,O000028,U0287,2025-12-01 18:14:00,자사몰,P010,1,38000,0,38000,,
OPO000029_P000,O000029,U0154,2025-12-01 10:08:00,네이버,P000,1,29000,0,29000,,
OPO000030_P006,O000030,U0252,2025-12-01 12:56:00,자사몰,P006,1,45000,0,45000,,
OPO000031_P006,O000031,U0276,2025-12-01 20:46:00,쿠팡,P006,1,45000,0,45000,,
OPO000032_P003,O000032,U0250,2025-12-01 13:02:00,네이버,P003,1,59000,0,59000,,
OPO000033_P014,O000033,U0120,2025-12-01 10:43:00,지그재그,P014,1,85000,0,85000,,
OPO000034_P013,O000034,U0183,2025-12-01 13:12:00,자사몰,P013,1,149000,0,149000,,
OPO000034_P014,O000034,U0183,2025-12-01 13:12:00,자사몰,P014,1,85000,0,85000,,
OPO000035_P005,O000035,U0108,2025-12-01 18:01:00,네이버,P005,1,69000,0,69000,,
OPO000036_P008,O000036,U0064,2025-12-01 12:04:00,네이버,P008,1,120000,0,120000,,
OPO000036_P003,O000036,U0064,2025-12-01 12:04:00,네이버,P003,1,59000,0,59000,,
OPO000037_P000,O000037,U0119,2025-12-01 11:50:00,자사몰,P000,1,29000,0,29000,,
OPO000037_P004,O000037,U0119,2025-12-01 11:50:00,자사몰,P004,1,79000,0,79000,,
OPO000038_P001,O000038,U0074,2025-12-01 17:16:00,에이블리,P001,1,49000,0,49000,,
OPO000039_P009,O000039,U0013,2025-12-01 14:50:00,자사몰,P009,1,98000,0,98000,,
OPO000040_P001,O000040,U0089,2025-12-01 11:47:00,자사몰,P001,1,49000,0,49000,,
OPO000041_P007,O000041,U0243,2025-12-01 14:32:00,쿠팡,P007,1,32000,0,32000,,
OPO000042_P007,O000042,U0022,2025-12-01 22:42:00,네이버,P007,1,32000,0,32000,,
OPO000043_P010,O000043,U0015,2025-12-01 16:54:00,자사몰,P010,1,38000,0,38000,,
OPO000044_P001,O000044,U0227,2025-12-01 10:20:00,자사몰,P001,1,49000,0,49000,,
OPO000045_P008,O000045,U0299,2025-12-01 14:24:00,쿠팡,P008,1,120000,0,120000,,
OPO000045_P004,O000045,U0299,2025-12-01 14:24:00,쿠팡,P004,1,79000,0,79000,,
OPO000046_P010,O000046,U0220,2025-12-01 20:07:00,자사몰,P010,1,38000,0,38000,,
OPO000046_P012,O000046,U0220,2025-12-01 20:07:00,자사몰,P012,1,65000,0,65000,,
OPO000047_P007,O000047,U0110,2025-12-01 12:26:00,쿠팡,P007,1,32000,0,32000,,
OPO000048_P002,O000048,U0048,2025-12-01 14:42:00,자사몰,P002,1,89000,0,89000,,
OPO000049_P001,O000049,U0242,2025-12-01 22:05:00,자사몰,P001,1,49000,0,49000,,
OPO000050_P008,O000050,U0190,2025-12-01 17:03:00,지그재그,P008,1,120000,0,120000,,
OPO000051_P006,O000051,U0062,2025-12-01 22:42:00,쿠팡,P006,1,45000,0,45000,,
OPO000051_P013,O000051,U0062,2025-12-01 22:42:00,쿠팡,P013,1,149000,0,149000,,
OPO000052_P009,O000052,U0026,2025-12-01 18:19:00,에이블리,P009,1,98000,0,98000,,
OPO000053_P013,O000053,U0079,2025-12-01 12:54:00,네이버,P013,1,149000,0,149000,,
OPO000054_P013,O000054,U0058,2025-12-01 18:14:00,네이버,P013,1,149000,0,149000,,
OPO000054_P008,O000054,U0058,2025-12-01 18:14:00,네이버,P008,1,120000,0,120000,,
OPO000055_P000,O000055,U0285,2025-12-01 19:53:00,자사몰,P000,1,29000,0,29000,,
OPO000056_P002,O000056,U0158,2025-12-01 14:00:00,에이블리,P002,1,89000,0,89000,,
OPO000057_P001,O000057,U0205,2025-12-01 20:40:00,자사몰,P001,1,49000,0,49000,,
OPO000057_P011,O000057,U0205,2025-12-01 20:40:00,자사몰,P011,1,55000,0,55000,,
OPO000058_P011,O000058,U0192,2025-12-01 14:10:00,쿠팡,P011,1,55000,0,55000,,
OPO000059_P009,O000059,U0290,2025-12-01 09:09:00,쿠팡,P009,1,98000,3000,95000,,C001
OPO000060_P004,O000060,U0226,2025-12-01 16:38:00,네이버,P004,1,79000,0,79000,,
OPO000061_P010,O000061,U0262,2025-12-01 15:07:00,자사몰,P010,1,38000,0,38000,,
OPO000062_P009,O000062,U0269,2025-12-01 09:14:00,네이버,P009,1,98000,3000,95000,,C001
OPO000063_P001,O000063,U0108,2025-12-01 21:16:00,네이버,P001,1,49000,4900,44100,,C003
OPO000064_P008,O000064,U0089,2025-12-01 17:45:00,자사몰,P008,1,120000,0,120000,,
OPO000065_P000,O000065,U0181,2025-12-01 22:47:00,자사몰,P000,1,29000,0,29000,,
OPO000066_P011,O000066,U0039,2025-12-01 18:27:00,지그재그,P011,1,55000,0,55000,,
OPO000067_P009,O000067,U0148,2025-12-01 09:20:00,자사몰,P009,1,98000,0,98000,,
OPO000068_P009,O000068,U0185,2025-12-01 22:06:00,자사몰,P009,1,98000,0,98000,,
OPO000069_P005,O000069,U0040,2025-12-01 13:47:00,자사몰,P005,1,69000,0,69000,,
OPO000070_P014,O000070,U0039,2025-12-01 10:33:00,쿠팡,P014,1,85000,0,85000,,
OPO000071_P003,O000071,U0179,2025-12-01 22:41:00,네이버,P003,1,59000,0,59000,,
OPO000071_P001,O000071,U0179,2025-12-01 22:41:00,네이버,P001,1,49000,0,49000,,
OPO000072_P001,O000072,U0101,2025-12-01 11:48:00,자사몰,P001,1,49000,0,49000,,
OPO000073_P010,O000073,U0252,2025-12-01 18:48:00,쿠팡,P010,1,38000,0,38000,,
OPO000074_P010,O000074,U0289,2025-12-02 18:20:00,네이버,P010,1,38000,0,38000,,
OPO000074_P005,O000074,U0289,2025-12-02 18:20:00,네이버,P005,1,69000,0,69000,,
OPO000075_P009,O000075,U0034,2025-12-02 19:19:00,쿠팡,P009,1,98000,3000,95000,,C002
OPO000076_P004,O000076,U0158,2025-12-02 09:03:00,쿠팡,P004,1,79000,7900,71100,,C003
OPO000077_P008,O000077,U0046,2025-12-02 17:24:00,네이버,P008,1,120000,0,120000,,
OPO000078_P005,O000078,U0021,2025-12-02 21:36:00,쿠팡,P005,1,69000,0,69000,,
OPO000079_P014,O000079,U0256,2025-12-02 09:28:00,자사몰,P014,1,85000,0,85000,,
OPO000080_P007,O000080,U0043,2025-12-02 11:02:00,쿠팡,P007,1,32000,0,32000,,
OPO000081_P004,O000081,U0268,2025-12-02 11:23:00,쿠팡,P004,1,79000,0,79000,,
OPO000082_P005,O000082,U0173,2025-12-02 09:50:00,네이버,P005,1,69000,3000,66000,,C001
OPO000083_P014,O000083,U0197,2025-12-02 20:54:00,자사몰,P014,1,85000,0,85000,,
OPO000084_P005,O000084,U0076,2025-12-02 18:42:00,자사몰,P005,1,69000,0,69000,,
OPO000085_P006,O000085,U0200,2025-12-02 20:05:00,자사몰,P006,1,45000,0,45000,,
OPO000086_P011,O000086,U0168,2025-12-02 19:44:00,지그재그,P011,1,55000,0,55000,,
OPO000086_P010,O000086,U0168,2025-12-02 19:44:00,지그재그,P010,1,38000,0,38000,,
OPO000087_P005,O000087,U0047,2025-12-02 15:32:00,네이버,P005,1,69000,0,69000,,
OPO000088_P002,O000088,U0109,2025-12-02 21:31:00,자사몰,P002,1,89000,0,89000,,
OPO000089_P013,O000089,U0151,2025-12-02 10:32:00,지그재그,P013,1,149000,0,149000,,
OPO000090_P002,O000090,U0269,2025-12-02 14:56:00,자사몰,P002,1,89000,0,89000,,
OPO000091_P012,O000091,U0078,2025-12-02 22:44:00,자사몰,P012,1,65000,0,65000,,
OPO000092_P007,O000092,U0224,2025-12-02 14:43:00,자사몰,P007,1,32000,0,32000,,
OPO000093_P012,O000093,U0229,2025-12-02 12:19:00,자사몰,P012,1,65000,0,65000,,
