order_id,user_id,order_ts,channel,order_status
O000001,U0076,2025-12-01 16:22:00,쿠팡,PAID
O000002,U0233,2025-12-01 22:12:00,에이블리,PAID
O000003,U0210,2025-12-01 20:30:00,자사몰,PAID
O000004,U0077,2025-12-01 09:08:00,쿠팡,PAID
O000005,U0051,2025-12-01 16:06:00,지그재그,PAID
O000006,U0079,2025-12-01 21:16:00,자사몰,PAID
O000007,U0041,2025-12-01 22:43:00,지그재그,PAID
O000008,U0249,2025-12-01 09:39:00,지그재그,PAID
O000009,U0147,2025-12-01 20:05:00,에이블리,PAID
O000010,U0051,2025-12-01 20:19:00,쿠팡,PAID
O000011,U0150,2025-12-01 15:09:00,자사몰,PAID
O000012,U0092,2025-12-01 10:39:00,자사몰,PAID
O000013,U0298,2025-12-01 16:40:00,자사몰,PAID
O000014,U0238,2025-12-01 19:34:00,에이블리,PAID
O000015,U0153,2025-12-01 15:44:00,네이버,PAID
O000016,U0196,2025-12-01 10:15:00,지그재그,PAID
O000017,U0151,2025-12-01 22:42:00,자사몰,PAID
O000018,U0025,2025-12-01 20:31:00,에이블리,PAID
O000019,U0117,2025-12-01 14:14:00,네이버,PAID
O000020,U0070,2025-12-01 19:41:00,네이버,PAID
O000021,U0296,2025-12-01 11:05:00,자사몰,PAID
O000022,U0102,2025-12-01 17:56:00,자사몰,PAID
O000023,U0084,2025-12-01 22:30:00,자사몰,PAID
O000024,U0058,2025-12-01 10:09:00,쿠팡,PAID
O000025,U0203,2025-12-01 21:35:00,에이블리,PAID
O000026,U0135,2025-12-01 16:23:00,쿠팡,PAID
O000027,U0195,2025-12-01 14:06:00,지그재그,PAID
O000028,U0287,2025-12-01 18:14:00,자사몰,PAID
O000029,U0154,2025-12-01 10:08:00,네이버,PAID
O000030,U0252,2025-12-01 12:56:00,자사몰,PAID
O000031,U0276,2025-12-01 20:46:00,쿠팡,PAID
O000032,U0250,2025-12-01 13:02:00,네이버,PAID
O000033,U0120,2025-12-01 10:43:00,지그재그,PAID
O000034,U0183,2025-12-01 13:12:00,자사몰,PAID
